date,group_id,event_id,total_pairs,requirement
2025-09-11,7,25,4,"доска, компьютеры"
2025-09-11,8,9,3,"доска, проектор"
2025-09-11,11,1,3,доска
2025-09-11,12,34,3,"доска, компьютеры"
2025-09-12,2,17,2,"доска, проектор"
2025-09-12,3,36,3,"доска, проектор"
2025-09-12,4,19,2,доска
2025-09-12,1,16,3,"доска, компьютеры"
2025-09-12,6,25,3,"доска, проектор"
2025-09-12,5,14,3,доска
2025-09-12,8,5,2,доска
2025-09-12,7,26,3,доска
2025-09-12,9,32,2,"доска, проектор"
2025-09-12,12,1,1,"доска, проектор"
2025-09-12,11,15,3,"доска, компьютеры"
2025-09-12,10,28,3,доска
2025-09-13,2,11,2,доска
2025-09-13,4,10,3,доска
2025-09-13,1,17,2,"доска, компьютеры"
2025-09-13,5,9,4,доска
2025-09-13,7,24,3,"доска, компьютеры"
2025-09-13,6,29,4,"доска, компьютеры"
2025-09-13,9,27,2,"доска, компьютеры"
2025-09-13,12,32,4,"доска, компьютеры"
2025-09-13,10,23,2,доска
2025-09-15,3,19,2,доска
2025-09-15,2,31,3,"доска, компьютеры"
2025-09-15,1,16,3,"доска, компьютеры"
2025-09-15,6,26,3,доска
2025-09-15,5,14,2,доска
2025-09-15,8,20,1,доска
2025-09-15,11,23,4,доска
2025-09-15,12,32,2,доска
2025-09-15,10,1,3,доска
2025-09-16,3,17,2,доска
2025-09-16,2,36,2,"доска, проектор"
2025-09-16,1,30,2,доска
2025-09-16,4,21,4,доска
2025-09-16,5,14,2,"доска, компьютеры"
2025-09-16,6,7,4,доска
2025-09-16,7,24,2,"доска, проектор"
2025-09-16,8,9,1,доска
2025-09-16,12,15,3,доска
2025-09-16,9,34,3,доска
2025-09-16,10,33,2,"доска, проектор"
2025-09-16,11,28,3,"доска, компьютеры"
2025-09-17,1,36,3,доска
2025-09-17,3,16,3,"доска, компьютеры"
2025-09-17,4,21,2,"доска, компьютеры"
2025-09-17,2,10,2,доска
2025-09-17,6,24,2,"доска, компьютеры"
2025-09-17,8,13,4,доска
2025-09-17,5,7,3,"доска, компьютеры"
2025-09-17,7,6,3,доска
2025-09-17,11,27,2,"доска, компьютеры"
2025-09-17,9,22,4,"доска, компьютеры"
2025-09-17,10,33,4,доска
2025-09-17,12,34,3,"доска, компьютеры"
2025-09-18,3,17,2,"доска, проектор"
2025-09-18,4,31,2,"доска, компьютеры"
2025-09-18,1,10,3,доска
2025-09-18,2,18,3,доска
2025-09-18,5,6,3,доска
2025-09-18,6,4,3,доска
2025-09-18,7,5,2,"доска, компьютеры"
2025-09-18,8,24,3,доска
2025-09-18,10,2,4,"доска, проектор"
2025-09-18,11,33,1,доска
2025-09-18,12,28,2,доска
2025-09-18,9,8,4,доска
2025-09-19,4,10,1,доска
2025-09-19,1,18,4,доска
2025-09-19,3,11,4,доска
2025-09-19,8,9,3,"доска, компьютеры"
2025-09-19,5,6,4,"доска, компьютеры"
2025-09-19,7,14,3,"доска, проектор"
2025-09-19,10,34,1,доска
2025-09-19,9,8,4,"доска, компьютеры"
2025-09-19,11,3,3,"доска, проектор"
2025-09-20,3,31,3,доска
2025-09-20,1,21,1,"доска, компьютеры"
2025-09-20,4,30,3,доска
2025-09-20,2,17,4,"доска, проектор"
2025-09-20,5,9,3,"доска, компьютеры"
2025-09-20,8,7,3,"доска, проектор"
2025-09-20,6,26,4,"доска, компьютеры"
2025-09-20,7,24,2,"доска, проектор"
2025-09-20,10,27,3,доска
2025-09-20,9,34,2,"доска, проектор"
2025-09-20,12,33,4,"доска, проектор"
2025-09-20,11,28,2,доска
2025-09-22,3,35,3,доска
2025-09-22,2,11,2,доска
2025-09-22,4,16,3,"доска, проектор"
2025-09-22,5,26,3,"доска, компьютеры"
2025-09-22,8,13,3,"доска, компьютеры"
2025-09-22,7,7,2,"доска, компьютеры"
2025-09-22,12,8,3,"доска, проектор"
2025-09-22,9,33,3,"доска, компьютеры"
2025-09-22,11,27,3,доска
2025-09-23,1,12,2,доска
2025-09-23,4,21,2,доска
2025-09-23,2,31,2,"доска, компьютеры"
2025-09-23,5,4,3,доска
2025-09-23,8,24,3,"доска, компьютеры"
2025-09-23,6,9,3,доска
2025-09-23,12,33,1,"доска, компьютеры"
2025-09-23,11,15,2,"доска, компьютеры"
2025-09-23,9,27,3,"доска, компьютеры"
2025-09-24,2,31,1,доска
2025-09-24,1,18,3,"доска, компьютеры"
2025-09-24,4,30,4,доска
2025-09-24,3,35,3,доска
2025-09-24,7,24,2,"доска, компьютеры"
2025-09-24,6,25,3,"доска, проектор"
2025-09-24,8,20,1,доска
2025-09-24,5,29,3,"доска, проектор"
2025-09-24,9,22,3,"доска, компьютеры"
2025-09-24,11,28,2,доска
2025-09-24,12,3,1,"доска, проектор"
2025-09-24,10,32,3,"доска, проектор"
2025-09-25,3,17,2,доска
2025-09-25,2,21,2,доска
2025-09-25,1,35,2,доска
2025-09-25,4,30,4,доска
2025-09-25,6,4,4,"доска, проектор"
2025-09-25,5,6,4,"доска, проектор"
2025-09-25,7,13,3,"доска, компьютеры"
2025-09-25,8,29,4,доска
2025-09-25,11,33,2,"доска, проектор"
2025-09-25,9,8,3,"доска, проектор"
2025-09-25,10,1,3,доска
2025-09-25,12,27,2,доска
2025-09-26,2,16,2,"доска, компьютеры"
2025-09-26,1,31,3,доска
2025-09-26,4,11,3,"доска, проектор"
2025-09-26,3,19,2,доска
2025-09-26,8,13,3,доска
2025-09-26,5,29,2,"доска, компьютеры"
2025-09-26,7,20,4,"доска, проектор"
2025-09-26,6,9,3,доска
2025-09-26,9,32,3,"доска, проектор"
2025-09-26,12,2,3,"доска, компьютеры"
2025-09-26,10,1,2,"доска, компьютеры"
2025-09-26,11,23,4,доска
2025-09-27,4,35,2,доска
2025-09-27,2,31,4,доска
2025-09-27,3,10,3,доска
2025-09-27,6,29,2,"доска, компьютеры"
2025-09-27,5,6,2,доска
2025-09-27,7,4,2,доска
2025-09-27,10,27,2,"доска, проектор"
2025-09-27,11,3,4,"доска, компьютеры"
2025-09-27,12,8,3,доска
2025-09-29,4,36,3,доска
2025-09-29,1,30,4,доска
2025-09-29,2,10,2,доска
2025-09-29,7,6,4,доска
2025-09-29,5,24,2,"доска, компьютеры"
2025-09-29,6,29,2,"доска, компьютеры"
2025-09-29,10,23,3,"доска, проектор"
2025-09-29,12,33,2,доска
2025-09-29,11,22,3,"доска, компьютеры"
2025-09-30,1,12,3,доска
2025-09-30,3,36,3,доска
2025-09-30,4,18,2,доска
2025-09-30,2,17,4,доска
2025-09-30,8,6,1,"доска, компьютеры"
2025-09-30,7,4,3,"доска, компьютеры"
2025-09-30,5,20,3,"доска, компьютеры"
2025-09-30,6,13,2,"доска, компьютеры"
2025-09-30,10,34,2,доска
2025-09-30,9,2,2,доска
2025-09-30,11,32,2,доска
2025-09-30,12,8,1,"доска, проектор"
2025-10-01,3,30,2,доска
2025-10-01,1,36,4,"доска, проектор"
2025-10-01,2,19,3,доска
2025-10-01,4,10,3,доска
2025-10-01,5,4,4,доска
2025-10-01,7,25,3,доска
2025-10-01,8,20,4,доска
2025-10-01,6,14,3,доска
2025-10-01,9,1,3,"доска, проектор"
2025-10-01,10,34,1,"доска, компьютеры"
2025-10-01,11,33,2,доска
2025-10-01,12,22,4,"доска, компьютеры"
2025-10-02,1,19,2,доска
2025-10-02,3,12,3,доска
2025-10-02,8,20,3,доска
2025-10-02,6,9,1,доска
2025-10-02,11,1,3,доска
2025-10-02,10,28,1,"доска, проектор"
2025-10-03,4,35,3,доска
2025-10-03,1,17,4,доска
2025-10-03,3,31,1,"доска, компьютеры"
2025-10-03,6,29,1,"доска, компьютеры"
2025-10-03,8,5,3,доска
2025-10-03,7,26,1,"доска, проектор"
2025-10-03,10,27,3,"доска, проектор"
2025-10-03,12,3,1,"доска, компьютеры"
2025-10-03,9,2,3,"доска, компьютеры"
2025-10-04,2,11,4,"доска, компьютеры"
2025-10-04,4,10,2,доска
2025-10-04,1,31,4,доска
2025-10-04,3,30,3,доска
2025-10-04,7,26,3,доска
2025-10-04,8,25,3,доска
2025-10-04,6,6,2,"доска, проектор"
2025-10-04,5,7,4,доска
2025-10-04,9,33,4,"доска, проектор"
2025-10-04,12,27,1,"доска, проектор"
2025-10-04,11,32,2,"доска, проектор"
2025-10-04,10,15,4,доска
2025-10-06,4,18,4,"доска, проектор"
2025-10-06,3,11,1,"доска, проектор"
2025-10-06,2,12,4,доска
2025-10-06,8,7,4,доска
2025-10-06,5,6,4,"доска, компьютеры"
2025-10-06,7,5,4,доска
2025-10-06,12,34,2,доска
2025-10-06,10,33,3,"доска, компьютеры"
2025-10-06,11,32,3,"доска, компьютеры"
2025-10-07,2,17,3,"доска, компьютеры"
2025-10-07,1,35,3,доска
2025-10-07,3,31,3,"доска, компьютеры"
2025-10-07,7,25,4,"доска, проектор"
2025-10-07,8,20,1,"доска, проектор"
2025-10-07,6,9,4,"доска, компьютеры"
2025-10-07,10,1,3,"доска, компьютеры"
2025-10-07,12,23,2,"доска, компьютеры"
2025-10-07,11,34,2,доска
2025-10-08,3,17,4,доска
2025-10-08,1,12,4,доска
2025-10-08,4,10,3,доска
2025-10-08,2,36,1,доска
2025-10-08,8,7,4,доска
2025-10-08,6,4,3,"доска, компьютеры"
2025-10-08,7,13,1,"доска, компьютеры"
2025-10-08,5,26,2,"доска, компьютеры"
2025-10-08,11,3,3,"доска, компьютеры"
2025-10-08,12,15,3,"доска, проектор"
2025-10-08,10,2,3,"доска, компьютеры"
2025-10-08,9,8,2,доска
2025-10-09,1,19,4,доска
2025-10-09,4,16,3,"доска, компьютеры"
2025-10-09,3,30,2,доска
2025-10-09,2,10,4,доска
2025-10-09,6,5,3,"доска, компьютеры"
2025-10-09,8,9,3,"доска, компьютеры"
2025-10-09,7,7,2,"доска, компьютеры"
2025-10-09,5,24,2,"доска, компьютеры"
2025-10-09,12,28,2,"доска, компьютеры"
2025-10-09,9,22,3,доска
2025-10-09,11,33,2,"доска, проектор"
2025-10-09,10,2,3,"доска, проектор"
2025-10-10,3,30,4,доска
2025-10-10,4,36,4,"доска, проектор"
2025-10-10,1,35,1,доска
2025-10-10,6,9,3,доска
2025-10-10,8,20,4,доска
2025-10-10,5,13,2,"доска, проектор"
2025-10-10,11,1,4,доска
2025-10-10,9,32,1,доска
2025-10-10,12,3,3,доска
2025-10-11,4,18,3,доска
2025-10-11,3,21,2,доска
2025-10-11,2,31,2,"доска, компьютеры"
2025-10-11,1,17,2,"доска, компьютеры"
2025-10-11,7,25,3,доска
2025-10-11,8,13,3,доска
2025-10-11,6,6,1,доска
2025-10-11,5,9,2,"доска, проектор"
2025-10-11,11,2,1,доска
2025-10-11,10,8,1,"доска, компьютеры"
2025-10-11,12,1,4,доска
2025-10-11,9,23,3,"доска, проектор"
2025-10-13,3,10,3,доска
2025-10-13,4,17,1,"доска, компьютеры"
2025-10-13,1,12,4,доска
2025-10-13,6,5,4,доска
2025-10-13,5,29,3,доска
2025-10-13,8,20,3,"доска, проектор"
2025-10-13,9,3,3,"доска, проектор"
2025-10-13,11,1,2,"доска, проектор"
2025-10-13,10,27,3,"доска, компьютеры"
2025-10-14,3,12,2,доска
2025-10-14,1,19,3,доска
2025-10-14,4,21,2,"доска, компьютеры"
2025-10-14,2,35,4,доска
2025-10-14,6,9,2,"доска, проектор"
2025-10-14,5,26,3,доска
2025-10-14,8,6,4,"доска, компьютеры"
2025-10-14,7,20,3,"доска, компьютеры"
2025-10-14,11,1,2,доска
2025-10-14,9,3,2,"доска, компьютеры"
2025-10-14,12,34,3,доска
2025-10-14,10,2,3,доска
2025-10-15,3,36,4,доска
2025-10-15,4,21,3,"доска, компьютеры"
2025-10-15,2,19,3,доска
2025-10-15,1,18,2,доска
2025-10-15,8,4,1,"доска, проектор"
2025-10-15,5,20,3,доска
2025-10-15,6,26,2,"доска, компьютеры"
2025-10-15,7,5,2,"доска, компьютеры"
2025-10-15,9,1,1,"доска, компьютеры"
2025-10-15,12,2,2,"доска, проектор"
2025-10-15,11,22,4,доска
2025-10-15,10,3,4,"доска, компьютеры"
2025-10-16,1,36,2,"доска, проектор"
2025-10-16,4,18,1,доска
2025-10-16,3,17,2,"доска, компьютеры"
2025-10-16,7,24,3,"доска, компьютеры"
2025-10-16,8,5,4,"доска, компьютеры"
2025-10-16,6,29,3,"доска, компьютеры"
2025-10-16,11,23,3,доска
2025-10-16,10,27,2,"доска, проектор"
2025-10-16,12,32,3,"доска, проектор"
2025-10-17,3,36,2,"доска, компьютеры"
2025-10-17,1,18,4,доска
2025-10-17,4,17,3,доска
2025-10-17,7,24,3,"доска, проектор"
2025-10-17,5,7,3,доска
2025-10-17,8,26,1,"доска, компьютеры"
2025-10-17,11,32,1,"доска, проектор"
2025-10-17,12,22,4,"доска, компьютеры"
2025-10-17,10,15,4,доска
2025-10-18,2,35,3,доска
2025-10-18,4,21,3,"доска, компьютеры"
2025-10-18,3,12,3,доска
2025-10-18,1,16,2,"доска, компьютеры"
2025-10-18,5,26,3,"доска, проектор"
2025-10-18,7,14,2,"доска, компьютеры"
2025-10-18,6,24,4,"доска, компьютеры"
2025-10-18,8,6,3,доска
2025-10-18,10,2,3,"доска, компьютеры"
2025-10-18,9,15,4,"доска, проектор"
2025-10-18,11,3,1,доска
2025-10-18,12,8,3,"доска, проектор"
2025-10-20,4,30,2,доска
2025-10-20,1,16,2,"доска, компьютеры"
2025-10-20,3,10,3,доска
2025-10-20,8,9,1,"доска, проектор"
2025-10-20,6,4,4,"доска, компьютеры"
2025-10-20,5,7,3,доска
2025-10-20,9,1,3,доска
2025-10-20,12,3,3,"доска, проектор"
2025-10-20,11,2,2,доска
2025-10-21,3,35,3,доска
2025-10-21,2,12,3,доска
2025-10-21,1,21,2,"доска, компьютеры"
2025-10-21,5,7,3,доска
2025-10-21,6,9,2,доска
2025-10-21,7,24,4,доска
2025-10-21,9,1,4,"доска, компьютеры"
2025-10-21,11,3,3,"доска, компьютеры"
2025-10-21,12,27,3,"доска, проектор"
2025-10-22,3,30,4,доска
2025-10-22,1,11,1,"доска, компьютеры"
2025-10-22,4,17,2,"доска, компьютеры"
2025-10-22,5,26,2,"доска, компьютеры"
2025-10-22,6,20,3,доска
2025-10-22,7,4,1,доска
2025-10-22,12,2,3,доска
2025-10-22,9,1,4,"доска, проектор"
2025-10-22,10,27,2,"доска, компьютеры"
2025-10-23,2,31,1,"доска, проектор"
2025-10-23,4,16,3,"доска, компьютеры"
2025-10-23,3,12,4,доска
2025-10-23,6,14,2,"доска, компьютеры"
2025-10-23,8,29,2,"доска, компьютеры"
2025-10-23,7,13,2,"доска, компьютеры"
2025-10-23,11,33,1,доска
2025-10-23,12,8,1,"доска, компьютеры"
2025-10-23,9,32,4,"доска, проектор"
2025-10-24,1,30,2,доска
2025-10-24,2,18,4,доска
2025-10-24,3,11,4,"доска, проектор"
2025-10-24,4,36,3,"доска, компьютеры"
2025-10-24,6,6,1,доска
2025-10-24,8,4,1,доска
2025-10-24,7,14,1,"доска, компьютеры"
2025-10-24,5,9,4,"доска, проектор"
2025-10-24,11,32,2,"доска, проектор"
2025-10-24,10,28,2,"доска, проектор"
2025-10-24,9,34,2,"доска, проектор"
2025-10-24,12,22,2,"доска, компьютеры"
2025-10-25,4,10,4,доска
2025-10-25,1,18,4,"доска, проектор"
2025-10-25,2,12,2,доска
2025-10-25,3,16,4,"доска, компьютеры"
2025-10-25,8,26,2,"доска, компьютеры"
2025-10-25,5,29,2,"доска, проектор"
2025-10-25,7,4,2,"доска, компьютеры"
2025-10-25,6,25,1,"доска, компьютеры"
2025-10-25,10,34,3,"доска, проектор"
2025-10-25,11,32,3,доска
2025-10-25,9,15,2,доска
2025-10-25,12,1,3,"доска, компьютеры"
2025-10-27,3,10,4,доска
2025-10-27,1,21,1,доска
2025-10-27,8,4,2,"доска, компьютеры"
2025-10-27,7,24,1,"доска, проектор"
2025-10-27,11,27,1,"доска, компьютеры"
2025-10-27,9,32,3,доска
2025-10-28,1,16,1,"доска, компьютеры"
2025-10-28,3,12,2,доска
2025-10-28,2,30,2,доска
2025-10-28,4,19,3,доска
2025-10-28,7,4,3,"доска, компьютеры"
2025-10-28,8,7,3,доска
2025-10-28,5,6,4,"доска, компьютеры"
2025-10-28,6,29,3,доска
2025-10-28,11,28,4,доска
2025-10-28,12,1,2,"доска, компьютеры"
2025-10-28,10,27,1,"доска, проектор"
2025-10-28,9,32,4,доска
2025-10-29,2,18,2,"доска, проектор"
2025-10-29,4,11,4,"доска, компьютеры"
2025-10-29,1,12,4,доска
2025-10-29,3,21,3,"доска, компьютеры"
2025-10-29,5,26,3,доска
2025-10-29,7,25,2,доска
2025-10-29,8,29,4,"доска, компьютеры"
2025-10-29,6,14,3,"доска, проектор"
2025-10-29,12,34,3,"доска, компьютеры"
2025-10-29,9,23,4,доска
2025-10-29,10,15,3,доска
2025-10-29,11,1,2,доска
2025-10-30,4,17,3,доска
2025-10-30,1,11,3,"доска, компьютеры"
2025-10-30,3,16,4,"доска, компьютеры"
2025-10-30,5,29,3,доска
2025-10-30,6,20,3,"доска, компьютеры"
2025-10-30,8,14,2,доска
2025-10-30,9,22,4,"доска, компьютеры"
2025-10-30,12,27,3,"доска, проектор"
2025-10-30,10,23,4,"доска, проектор"
2025-10-31,3,30,3,доска
2025-10-31,4,12,3,доска
2025-10-31,2,31,1,доска
2025-10-31,1,17,2,"доска, компьютеры"
2025-10-31,5,13,1,"доска, проектор"
2025-10-31,6,24,3,доска
2025-10-31,8,7,3,"доска, проектор"
2025-10-31,7,20,2,"доска, компьютеры"
2025-10-31,11,33,3,доска
2025-10-31,10,3,1,"доска, компьютеры"
2025-10-31,12,8,4,"доска, компьютеры"
2025-10-31,9,2,3,"доска, компьютеры"
2025-11-01,4,31,2,доска
2025-11-01,3,35,2,доска
2025-11-01,5,4,2,"доска, проектор"
2025-11-01,6,24,3,доска
2025-11-01,12,27,4,"доска, проектор"
2025-11-01,9,1,1,"доска, проектор"
2025-11-03,4,12,2,доска
2025-11-03,2,30,3,доска
2025-11-03,3,10,3,доска
2025-11-03,8,29,2,"доска, компьютеры"
2025-11-03,6,9,2,доска
2025-11-03,5,25,2,"доска, проектор"
2025-11-03,12,33,2,"доска, компьютеры"
2025-11-03,9,23,2,"доска, компьютеры"
2025-11-03,10,3,4,доска
2025-11-05,1,18,4,"доска, проектор"
2025-11-05,2,17,2,доска
2025-11-05,3,31,2,доска
2025-11-05,7,13,2,"доска, проектор"
2025-11-05,8,20,4,"доска, проектор"
2025-11-05,6,26,1,"доска, компьютеры"
2025-11-05,12,23,4,доска
2025-11-05,9,27,2,"доска, компьютеры"
2025-11-05,10,2,4,"доска, компьютеры"
2025-11-06,3,35,1,доска
2025-11-06,2,16,4,"доска, компьютеры"
2025-11-06,1,31,1,"доска, проектор"
2025-11-06,6,4,2,доска
2025-11-06,5,5,3,доска
2025-11-06,8,26,2,"доска, компьютеры"
2025-11-06,9,2,4,"доска, компьютеры"
2025-11-06,12,8,2,"доска, компьютеры"
2025-11-06,10,27,2,"доска, компьютеры"
2025-11-07,1,11,3,доска
2025-11-07,4,30,3,доска
2025-11-07,3,36,3,"доска, проектор"
2025-11-07,6,7,2,"доска, проектор"
2025-11-07,7,24,2,"доска, компьютеры"
2025-11-07,5,25,4,доска
2025-11-07,9,1,2,"доска, проектор"
2025-11-07,12,33,2,"доска, компьютеры"
2025-11-07,11,27,3,"доска, компьютеры"
2025-11-08,2,36,3,"доска, проектор"
2025-11-08,4,30,2,доска
2025-11-08,5,24,3,доска
2025-11-08,8,7,3,доска
2025-11-08,11,8,4,"доска, компьютеры"
2025-11-08,10,27,3,доска
2025-11-10,2,30,3,доска
2025-11-10,4,18,1,"доска, компьютеры"
2025-11-10,3,10,2,доска
2025-11-10,1,17,3,"доска, компьютеры"
2025-11-10,5,5,3,"доска, компьютеры"
2025-11-10,7,9,4,"доска, компьютеры"
2025-11-10,8,20,2,доска
2025-11-10,6,4,3,доска
2025-11-10,11,1,2,доска
2025-11-10,10,15,1,"доска, компьютеры"
2025-11-10,9,33,3,"доска, проектор"
2025-11-10,12,28,2,"доска, компьютеры"
2025-11-11,3,36,4,доска
2025-11-11,1,17,4,доска
2025-11-11,4,12,3,доска
2025-11-11,2,10,1,доска
2025-11-11,8,13,2,доска
2025-11-11,7,9,4,"доска, компьютеры"
2025-11-11,6,14,3,доска
2025-11-11,5,20,2,"доска, компьютеры"
2025-11-11,9,28,1,доска
2025-11-11,12,34,1,доска
2025-11-11,10,15,3,"доска, проектор"
2025-11-11,11,1,4,"доска, компьютеры"
2025-11-12,4,19,3,доска
2025-11-12,3,18,3,"доска, компьютеры"
2025-11-12,1,11,3,"доска, компьютеры"
2025-11-12,2,16,3,доска
2025-11-12,6,29,2,"доска, компьютеры"
2025-11-12,7,24,4,"доска, проектор"
2025-11-12,8,6,1,доска
2025-11-12,5,13,4,доска
2025-11-12,9,15,2,доска
2025-11-12,12,28,4,"доска, компьютеры"
2025-11-12,11,33,3,доска
2025-11-12,10,3,2,доска
2025-11-13,2,16,3,доска
2025-11-13,3,30,3,доска
2025-11-13,4,21,3,доска
2025-11-13,1,17,4,"доска, компьютеры"
2025-11-13,6,7,3,"доска, проектор"
2025-11-13,7,29,2,"доска, компьютеры"
2025-11-13,8,14,3,"доска, проектор"
2025-11-13,5,4,3,доска
2025-11-13,10,3,1,доска
2025-11-13,9,34,3,"доска, проектор"
2025-11-13,11,8,2,доска
2025-11-13,12,23,2,доска
2025-11-14,2,10,2,доска
2025-11-14,3,31,2,"доска, проектор"
2025-11-14,1,35,2,доска
2025-11-14,4,16,3,"доска, компьютеры"
2025-11-14,6,9,3,"доска, компьютеры"
2025-11-14,7,14,3,доска
2025-11-14,5,26,2,"доска, компьютеры"
2025-11-14,8,13,2,"доска, компьютеры"
2025-11-14,9,27,2,"доска, проектор"
2025-11-14,10,28,1,доска
2025-11-14,12,1,2,доска
2025-11-14,11,8,4,"доска, проектор"
2025-11-15,2,35,2,доска
2025-11-15,3,19,4,доска
2025-11-15,4,18,4,"доска, компьютеры"
2025-11-15,1,16,3,"доска, компьютеры"
2025-11-15,7,13,4,"доска, проектор"
2025-11-15,8,9,3,доска
2025-11-15,6,26,4,"доска, проектор"
2025-11-15,5,6,3,доска
2025-11-15,10,28,4,"доска, компьютеры"
2025-11-15,9,33,3,"доска, компьютеры"
2025-11-15,11,15,1,доска
2025-11-15,12,34,2,"доска, проектор"
2025-11-17,3,30,2,доска
2025-11-17,2,35,2,доска
2025-11-17,4,11,3,доска
2025-11-17,8,5,3,доска
2025-11-17,5,29,2,"доска, проектор"
2025-11-17,6,14,2,"доска, компьютеры"
2025-11-17,10,3,4,"доска, проектор"
2025-11-17,9,27,3,доска
2025-11-17,12,32,3,"доска, проектор"
2025-11-18,2,19,3,доска
2025-11-18,3,10,4,доска
2025-11-18,1,12,3,доска
2025-11-18,7,29,2,"доска, компьютеры"
2025-11-18,6,26,4,доска
2025-11-18,5,20,3,"доска, компьютеры"
2025-11-18,12,8,2,доска
2025-11-18,10,33,2,"доска, проектор"
2025-11-18,11,15,3,"доска, компьютеры"
2025-11-19,4,30,2,доска
2025-11-19,2,35,2,доска
2025-11-19,3,18,2,доска
2025-11-19,1,31,3,"доска, компьютеры"
2025-11-19,5,29,2,"доска, компьютеры"
2025-11-19,8,5,3,доска
2025-11-19,7,7,3,доска
2025-11-19,6,13,4,"доска, компьютеры"
2025-11-19,12,27,3,доска
2025-11-19,10,28,1,"доска, компьютеры"
2025-11-19,9,8,3,доска
2025-11-19,11,2,4,"доска, компьютеры"
2025-11-20,4,10,4,доска
2025-11-20,1,16,3,"доска, компьютеры"
2025-11-20,3,11,4,"доска, компьютеры"
2025-11-20,2,35,3,доска
2025-11-20,6,4,4,"доска, компьютеры"
2025-11-20,8,20,3,доска
2025-11-20,5,5,2,доска
2025-11-20,7,7,3,доска
2025-11-20,10,28,4,"доска, проектор"
2025-11-20,12,33,3,"доска, проектор"
2025-11-20,9,22,3,"доска, компьютеры"
2025-11-20,11,27,1,доска
2025-11-21,3,35,3,доска
2025-11-21,1,19,4,доска
2025-11-21,4,31,4,"доска, компьютеры"
2025-11-21,6,4,4,доска
2025-11-21,5,5,2,"доска, компьютеры"
2025-11-21,8,24,3,"доска, компьютеры"
2025-11-21,12,34,2,"доска, проектор"
2025-11-21,11,1,3,доска
2025-11-21,10,33,3,"доска, проектор"
2025-11-22,3,30,3,доска
2025-11-22,2,19,3,доска
2025-11-22,5,14,4,"доска, компьютеры"
2025-11-22,7,25,3,доска
